,Investigator,Number of Studies,Top Condition,Top Condition Count
12091,liqing zheng,1,nash - nonalcoholic steatohepatitis,1.0
12092,david hildick-smith,1,coronary artery disease,1.0
12093,maria lorenzon,1,oncology,1.0
12094,xavier garcia del muro,1,desmoid tumor,1.0
12095,antonino bonaventura,1,gastro-oesophageal cancer,1.0
12096,georg martin haag,1,gastro-oesophageal cancer,1.0
12097,michael pinkawa,1,prostate cancer,1.0
12098,timothy donahue,1,pancreatic ductal adenocarcinoma,1.0
12099,philippe menu,1,non-small cell lung cancer metastatic,1.0
12100,michel piotin,1,intracranial aneurysm,1.0
12101,biesen,1,macrophage activation syndrome,1.0
12102,annie ebacher,1,prostate adenocarcinoma,1.0
12103,lasheaka mcclellan,1,pbc,1.0
12104,kristin moksnes husby,1,cancer,1.0
12105,erik torbjørn løhre,1,cancer pain,1.0
12106,domenico gerardo iacopino,1,brain tumor,1.0
12107,laura cedrone,1,breast neoplasm female,1.0
12108,renato a sinico,1,monoclonal gammopathy of renal significance,1.0
12109,chunhong hu,1,her2 positive breast cancer,1.0
12110,seok yun kang,1,her2 positive breast cancer,1.0
12111,raffaele antonelli,1,older patients,1.0
12112,jan krejčí,1,myocarditis acute,1.0
12113,jwa hoon kim,1,gastroesophageal adenocarcinoma,1.0
12114,francesco caso,1,pfapa syndrome,1.0
12115,augusto alonto,1,infectious pneumonia,1.0
12116,vidya navaratnam,1,interstitial lung disease,1.0
12117,philip zeitler,1,diabetes mellitus,1.0
12118,teus van laar,1,parkinson disease,1.0
12119,magdalena boczarska-jedynak,1,parkinson disease,1.0
12120,maria acera gil,1,parkinson's disease,1.0
12121,john mitchell,1,mucopolysaccharidosis ii,1.0
12122,jonas kuon,1,cancer,1.0
12123,katerina lickova,1,head and neck cancer,1.0
12124,maria g mosconi,1,tia,1.0
12125,wolf-dietrich huber,1,crohn's disease,1.0
12126,robert davis,1,breast neoplasms,1.0
12127,maria isabel gallegos sancho,1,breast neoplasms,1.0
12128,mb mukesh,1,breast neoplasms,1.0
12129,chamindra laverty,1,duchenne muscular dystrophy (dmd),1.0
12130,irene martinez,1,multiple system atrophy,1.0
12131,junkui wang,1,obesity,1.0
12132,robert parker,1,endometriosis,1.0
12133,wojciech wojakowski,1,"cardiomyopathy, hypertrophic",1.0
12134,victor alfonso jiménez díaz,1,structural valve deterioration,1.0
12135,michael christ,1,nstemi - non-st segment elevation mi,1.0
12136,tirrell johnson,1,non small cell lung cancer,1.0
12137,dusan skiljevic,1,bullous pemphigoid,1.0
12138,jaime espinos jimenez,1,metastatic breast cancer,1.0
12139,vincenzo messina,1,chronic hepatitis d,1.0
12140,marta puzzono,1,risk reduction,1.0
12141,stefania filipponi,1,status epilepticus,1.0
12142,krishnamurthy shivshanker,1,ulcerative colitis chronic,1.0
12143,cezary rudnicki,1,ulcerative colitis chronic,1.0
12144,dagmar langanke,1,breast cancer,1.0
12145,andrew liman,1,myelodysplastic syndromes,1.0
12146,corey mcdaniel,1,friedreich ataxia,1.0
12147,massimiliano gambella,1,dlbcl - diffuse large b cell lymphoma,1.0
12148,paula alves,1,"carcinoma, non-small-cell lung",1.0
12149,maria isabel montero cuadrado,1,myeloproliferative disorders,1.0
12150,anish puliyayil,1,small lymphocytic lymphoma,1.0
12151,ciro scarpato,1,tia,1.0
12152,jeff livingston,1,endometriosis,1.0
12153,muhlis cem ar,1,multiple myeloma,1.0
12154,konrad pillwein,1,neuroblastoma,1.0
12155,amadeo fiorillo,1,neuroblastoma,1.0
12156,raffaele nocenti,1,intracerebral hemorrhage,1.0
12157,michael frumovitz,1,cervical cancer,1.0
12158,fernando camacho,1,peripheral t-cell lymphoma,1.0
12159,linda neuman,1,acute myeloid leukemia,1.0
12160,andrew rhodes,1,critical illness,1.0
12161,javier molina-infante,1,helicobacter pylori infection,1.0
12162,julio a ramirez,1,pleuropneumonia,1.0
12163,harish dave,1,non-small cell lung cancer,1.0
12164,gregory suter,1,huntington's disease,1.0
12165,giovanna fabio,1,anemia of acute inflammation,1.0
12166,ulrich walker,1,systemic sclerosis,1.0
12167,liliana indelicato,1,type 1 diabetes,1.0
12168,ritesh rathore,1,stage ib non-small cell lung carcinoma ajcc v7,1.0
12169,eleni kapsali,1,diffuse large b-cell lymphoma,1.0
12170,sergii moskovko,1,parkinson's disease,1.0
12171,valentina kutyifa,1,tachycardia,1.0
12172,josé felipe varona,1,venous thromboembolism,1.0
12173,helen pergantou,1,factor viii deficiency,1.0
12174,heidi knüdsen,1,factor ix deficiency,1.0
12175,simone lindau,1,"endocarditis, bacterial",1.0
12176,valerio del bono,1,"bone diseases, infectious",1.0
12177,maria j lópez,1,second hand tobacco smoke,1.0
12178,elizabeth smyth,1,gastric and esophagogastric junction adenocarcinoma,1.0
12179,ettore beghi,1,amyotrophic lateral sclerosis,1.0
12180,mary e. young,1,breast cancer,1.0
12181,toshiyuki furukawa,1,atrial fibrillation,1.0
12182,maria rosaria d'apice,1,lipodystrophy acquired,1.0
12183,marie de clippel,1,connective tissue diseases,1.0
12184,michael humeniuk,1,stage iv lung cancer ajcc v8,1.0
12185,leonardo fortunati,1,anesthesia,1.0
12186,klaus tiroch,1,cardiogenic shock,1.0
12187,tammo brouwer,1,postoperative respiratory complication,1.0
12188,ralf pd westenfeld,1,st elevation (stemi) myocardial infarction of anterior wall,1.0
12189,mario habek,1,"multiple sclerosis, relapsing-remitting",1.0
12190,jerome de seze,1,"multiple sclerosis, relapsing-remitting",1.0
12191,ozgur duman,1,"multiple sclerosis, relapsing-remitting",1.0
12192,aaron sverdlov,1,atrial fibrillation,1.0
12193,augusto caraceni,1,neoplasms,1.0
12194,giorgio pagani,1,congenital cytomegalovirus infection,1.0
12195,alessandra sforza,1,thyroid neoplasms,1.0
12196,guido griseri,1,liver cancer,1.0
12197,jill weisenbach,1,acute leukemia of ambiguous lineage,1.0
12198,devyani nanduri,1,movement disorders,1.0
12199,joie alvarez,1,acute myeloid leukemia,1.0
12200,agota schlammadinger,1,hemophilia a,1.0
12201,maria espinosa casanova,1,relapsed/refractory follicular lymphoma,1.0
12202,m.m.p.j reihnen,1,thoracic aortic aneurysm,1.0
12203,anastasia hankel,1,cardiac rhythm disorder,1.0
12204,janet parkey,1,peripheral t-cell lymphoma,1.0
12205,hans tesch,1,triple negative breast cancer,1.0
12206,christina lindenmeyer,1,acute-on-chronic liver failure,1.0
12207,paul calès,1,surgery--complications,1.0
12208,latanya bowman,1,sickle cell disease,1.0
12209,celine haby,1,sickle cell disease,1.0
12210,stanislas nimubona,1,sickle cell disease,1.0
12211,giampaolo ugolini,1,colorectal neoplasms malignant,1.0
12212,james rossetti,1,post-polycythemia vera myelofibrosis,1.0
12213,franck nicolini,1,anemia,1.0
12214,britta fitz,1,evaluate the safety and useability of the odocor ii intra-cardiac lead,1.0
12215,verena wais,1,steroid refractory gvhd,1.0
12216,maude piron,1,metastatic breast cancer,1.0
12217,stephan metzelder,1,myelodysplastic syndromes,1.0
12218,sarah garcía ávila,1,myelodysplastic syndromes,1.0
12219,ruth demeersseman,1,myelodysplastic syndromes,1.0
12220,jaroslaw dybko,1,diffuse large b-cell lymphoma,1.0
12221,kevin merkes,1,nash - nonalcoholic steatohepatitis,1.0
12222,mario echavarria,1,nash - nonalcoholic steatohepatitis,1.0
12223,stuart watkins,1,coronary artery disease,1.0
12224,cyrus sayehli,1,cervical cancer,1.0
12225,bernardo lanzillo,1,"brain injuries, acute",1.0
12226,marialia lunardelli,1,older patients,1.0
12227,ignacio valencia,1,dravet syndrome (ds),1.0
12228,almudena ojembarrena,1,"respiratory distress syndrome, newborn",1.0
12229,sigal,1,atherosclerotic cardiovascular disease,1.0
12230,javier aparicio calvo,1,lennox gastaut syndrome,1.0
12231,sara montagnese,1,circadian rhythm disorders,1.0
12232,maurizio taurino,1,abdominal aortic aneurysm,1.0
12233,daniel bar,1,"leukemia, lymphocytic",1.0
12234,stefan hagel,1,infectious pneumonia,1.0
12235,rafael silva orellana,1,idiopathic pulmonary fibrosis,1.0
12236,balduino tschiedel,1,diabetes mellitus,1.0
12237,jurriaan peters,1,tuberous sclerosis complex,1.0
12238,scott m. glaser,1,stage iii renal cell cancer ajcc v8,1.0
12239,andrea di cristofori,1,glioblastoma multiforme,1.0
12240,mauro amato,1,healthy population,1.0
12241,damiano baldassarre,1,healthy population,1.0
12242,maria teresa la rovere,1,healthy population,1.0
12243,jiong wu,1,breast neoplasms,1.0
12244,santos enrech francés,1,breast neoplasms,1.0
12245,paul baas,1,melanoma,1.0
12246,pablo alejandro mannucci walter,1,chronic cutaneous lupus erythematosus,1.0
12247,irit hochberg,1,overweight,1.0
12248,kristin gleaton,1,endometriosis,1.0
12249,kathryn middleton,1,metastatic breast cancer,1.0
12250,jose guimares,1,metastatic breast cancer,1.0
12251,radha ann tamerisa,1,ulcerative colitis,1.0
12252,yuki koike,1,ulcerative colitis,1.0
12253,shirley a. nagel,1,overweight,1.0
12254,chun wook park,1,atopic dermatitis,1.0
12255,scri front desk,1,metastatic uveal melanoma,1.0
12256,nicolò cardobi,1,prostate cancer,1.0
12257,mart schiefer,1,"carcinoma, non-small-cell lung",1.0
12258,katy clarke,1,neoplasm metastasis,1.0
12259,antonella danese,1,polycythemia vera,1.0
12260,bas in 't veld,1,postoperative respiratory complication,1.0
12261,muireann ní chróinín,1,aspergillosis,1.0
12262,cindy h. t. pau,1,overweight,1.0
12263,vasiliki chasapi,1,bullous pemphigoid,1.0
12264,esther n oliva,1,transfusion-dependent anemia,1.0
12265,neil k. aaronson,1,prostate cancer,1.0
12266,s.j. gordijn,1,pregnancy,1.0
12267,mamia zodelava,1,lymphoma,1.0
12268,jean marc davy,1,bradycardia-tachycardia syndrome,1.0
12269,nicola mangialardi,1,carotid stenosis,1.0
12270,a. khodadade jahrome,1,carotid stenosis,1.0
12271,bernert günther,1,"muscular dystrophy, duchenne",1.0
12272,dirk e. mueller-wiefel,1,cardiovascular disease,1.0
12273,mark bresnik,1,cystic fibrosis,1.0
12274,niels rahe-meyer,1,surgical blood loss,1.0
12275,stavroula giavi,1,allergy,1.0
12276,aaron lasker,1,huntington's disease,1.0
12277,rhys davies,1,huntington's disease,1.0
12278,teresa peluso,1,multiple myeloma,1.0
12279,nathalie goemans,1,duchenne muscular dystrophy,1.0
12280,nemanja damjanov,1,arthritis,1.0
12281,minneke coenraad,1,cholangitis,1.0
12282,joseph lillo,1,homozygous familial hypercholesterolemia,1.0
12283,mehul p. patel,1,stage iiia lung cancer ajcc v8,1.0
12284,céline chappe,1,childhood ependymoma,1.0
12285,céline icher,1,childhood ependymoma,1.0
12286,cinzia fattore,1,epilepsy,1.0
12287,george cole,1,metastatic pancreatic adenocarcinoma,1.0
12288,shaymaa mohamed,1,hemophilia a,1.0
12289,john k. erban,1,her2/neu negative,1.0
12290,roberto bottino,1,respiratory distress syndrome,1.0
12291,sally goff,1,huntington's disease,1.0
12292,abhijit bal,1,"meningitis, bacterial",1.0
12293,miresta previlon,1,hsv infection,1.0
12294,christophe vayssieres,1,posterior urethral valves,1.0
12295,mauro cacciafesta,1,mitral valve insufficiency,1.0
12296,alba brandes,1,metastatic breast cancer,1.0
12297,tania contardo,1,rectal cancer,1.0
12298,pavan s. reddy,1,breast cancer,1.0
12299,wladyslawa cwajna,1,breast cancer,1.0
12300,michal lawinski,1,ulcerative colitis,1.0
12301,francisco fernadez aviles,1,myocardial infarction,1.0
12302,evi smeyers,1,lung diseases,1.0
12303,pavel timr,1,"acute lymphoblastic leukemia, pediatric",1.0
12304,gil gilad,1,"acute lymphoblastic leukemia, pediatric",1.0
12305,claudio brambillasca,1,cardiac surgery,1.0
12306,silvia garcía adrián,1,metastatic breast cancer,1.0
12307,gianluca guercioni,1,surgery--complications,1.0
12308,mark coosem,1,cardiogenic shock,1.0
12309,konstantinos arnaoutakis,1,previously treated non-small cell lung cancer,1.0
12310,amy mcknight,1,st elevation (stemi) myocardial infarction of anterior wall,1.0
12311,prem menon,1,atrial fibrillation,1.0
12312,walter hermans,1,stroke,1.0
12313,greillier,1,non-small cell lung cancer,1.0
12314,james d. battiste,1,kras g12c mutation,1.0
12315,bruno madeo,1,thyroid neoplasms,1.0
12316,patrizia zappasodi,1,acute myeloid leukemia,1.0
12317,zunmin zhu,1,refractory follicular lymphoma,1.0
12318,hector jose bueno zamora,1,hemorrhage,1.0
12319,tara crawford,1,preterm birth,1.0
12320,gonzalo carreño,1,myeloproliferative neoplasm,1.0
12321,lewis nigel,1,heart failure,1.0
12322,albana lico,1,etp all,1.0
12323,thorsten kühn,1,triple negative breast cancer,1.0
12324,jordi colmenero,1,liver transplant,1.0
12325,vrajesh prabhakar udani,1,chronic migraine,1.0
12326,isabelle thuret,1,sickle cell disease,1.0
12327,fevzi yalniz,1,myelofibrosis,1.0
12328,gaetan vanstraelen,1,primary myelofibrosis,1.0
12329,eszter sári,1,myeloproliferative disorders,1.0
12330,lourdes calvo,1,early breast cancer,1.0
12331,joan gavilá,1,early breast cancer,1.0
12332,andrea rubbert-roth,1,"sclerosis, systemic",1.0
12333,gary mcdaniel,1,diffuse cutaneous systemic sclerosis,1.0
12334,laura calik,1,"sclerosis, systemic",1.0
12335,roberto ivan troisi,1,pancreas ductal adenocarcinoma,1.0
12336,jacopo vecchiet,1,covid19,1.0
12337,elizabeth maley,1,nash - nonalcoholic steatohepatitis,1.0
12338,richard skoien,1,nash - nonalcoholic steatohepatitis,1.0
12339,assy nimer,1,nash - nonalcoholic steatohepatitis,1.0
12340,gerard zalcman,1,esophageal squamous cell carcinoma,1.0
12341,pavel dřevínek,1,cystic fibrosis,1.0
12342,peter merkus,1,cystic fibrosis,1.0
12343,edisson jesus aguilera,1,primary biliary cholangitis,1.0
12344,praveen kumar,1,generalized myasthenia gravis,1.0
12345,cecilia sciommari,1,breast neoplasm female,1.0
12346,carlos alemany,1,her2 positive breast cancer,1.0
12347,kare nordhus,1,abdominal aortic aneurysm,1.0
12348,arndt vogel,1,esophageal adenocarcinoma,1.0
12349,douglas logan,1,atherosclerotic cardiovascular disease,1.0
12350,naydenov,1,atherosclerotic cardiovascular disease,1.0
12351,bairbre mcnicholas,1,acute hypoxemic respiratory failure,1.0
12352,franco mastroianni,1,hospitalization,1.0
12353,maría otaola,1,idiopathic pulmonary fibrosis,1.0
12354,yasmine namouri,1,interstitial lung disease,1.0
12355,gianfranco grisetti,1,healthy population,1.0
12356,swan matthew,1,parkinson disease,1.0
12357,stephane thobois,1,parkinson disease,1.0
12358,giovanni cammarota,1,celiac disease,1.0
12359,james porter,1,kidney cancer,1.0
12360,rafael lopez lopez,1,breast diseases,1.0
12361,alba gonzález-haba martínez,1,breast neoplasms,1.0
12362,renato eduardo jimenez calabrese,1,chronic cutaneous lupus erythematosus,1.0
12363,sanklecha tushar,1,ulcerative colitis,1.0
12364,giulia galli,1,lung cancer,1.0
12365,paul grena,1,obesity,1.0
12366,theodosios filippatos,1,overweight,1.0
12367,maarten asselman,1,overweight,1.0
12368,paola gaviani,1,glioma,1.0
12369,mohamed nejjary,1,structural valve deterioration,1.0
12370,sergio segato,1,primary sclerosing cholangitis,1.0
12371,barbara alicja jereczek,1,metastatic hormone-sensitive prostate cancer (mhspc),1.0
12372,kenneth johnson,1,non small cell lung cancer,1.0
12373,robert hoepner,1,relapsing forms of multiple sclerosis,1.0
12374,sanjeev kumar sidana,1,cardiovascular diseases,1.0
12375,greta scapinello,1,primary mediastinal large b-cell lymphoma (pmbcl),1.0
12376,andrea casadei gardini,1,biliary tract cancer,1.0
12377,eli kirschner,1,"carcinoma, non-small-cell lung",1.0
12378,clínica s maría,1,relapsed small cell lung cancer,1.0
12379,shahid islam,1,"leukemia, lymphocytic",1.0
12380,matt reed,1,syncope,1.0
12381,annabel b.m. foot,1,neuroblastoma,1.0
12382,steinar aamdal,1,melanoma (skin),1.0
12383,francois philippon,1,sudden death,1.0
12384,laura minicucci,1,glucose intolerance,1.0
12385,herbert h. engelhard,1,glioblastoma multiforme,1.0
12386,federico f bilotta,1,spinal cord diseases,1.0
12387,giuseppe de luca,1,coronary angioplasty,1.0
12388,mareva giacchino,1,mycoses,1.0
12389,gerardo nardone,1,helicobacter pylori infection,1.0
12390,belen perez-gallardo,1,helicobacter pylori infection,1.0
12391,adriaan a van bodegraven,1,crohn's disease,1.0
12392,pinky argarwal,1,huntington's disease,1.0
12393,massimo micaglio,1,postoperative pain,1.0
12394,ana luisa sosa ortiz,1,dementia,1.0
12395,ola d saugstad,1,extreme prematurity - less than 28 weeks,1.0
12396,paul disilvestro,1,brca mutation,1.0
12397,jun oh,1,"kidney failure, chronic",1.0
12398,jacek winiarski,1,acute lymphoblastic leukaemia,1.0
12399,manfred hönig,1,acute lymphoblastic leukaemia,1.0
12400,kathryn m. leininger,1,stage iia non-small cell lung carcinoma ajcc v7,1.0
12401,nicole o. williams,1,breast adenocarcinoma,1.0
12402,lipman marc,1,"monitoring, immunologic",1.0
12403,judit bodnã¡r,1,bacterial resistance,1.0
12404,pedro lara,1,prostate cancer,1.0
12405,antonio braschi,1,paediatric airway management,1.0
12406,romeo martini,1,venous thromboembolism,1.0
12407,karim amrane,1,all tumor types,1.0
12408,philippe rizek,1,huntington's disease,1.0
12409,elke hagenreiner,1,mantle cell lymphoma,1.0
12410,martina bührlen,1,factor viii deficiency,1.0
12411,luca franceschini,1,multiple myeloma,1.0
12412,francesca reali,1,out-of-hospital cardiac arrest,1.0
12413,evelyn van den tweel,1,metastatic breast cancer,1.0
12414,tilo kölbel,1,"aortic aneurysm, thoracoabdominal",1.0
12415,barend mees,1,"aortic aneurysm, thoracoabdominal",1.0
12416,manfredi rizzo,1,metabolic syndrome,1.0
12417,concetta maria vaccaro,1,cancer,1.0
12418,hansjoerg seltenreich,1,ulcerative colitis,1.0
12419,rahul aggarwal,1,renal cell carcinoma,1.0
12420,gabriel vazquez,1,myocardial infarction,1.0
12421,daniele s mattei,1,acute lymphoid leukemia,1.0
12422,todisco,1,acute lymphoid leukemia,1.0
12423,jin-ming liu,1,pah,1.0
12424,paolo pierani,1,"acute lymphoblastic leukemia, pediatric",1.0
12425,ahmad azura rozila,1,metastatic breast cancer,1.0
12426,georgia demetriou,1,metastatic breast cancer,1.0
12427,sabela recalde,1,metastatic breast cancer,1.0
12428,natalia ramírez,1,metastatic breast cancer,1.0
12429,hsing-wu chen,1,metastatic breast cancer,1.0
12430,bjørn haug,1,cardiogenic shock,1.0
12431,salah m. almokadem,1,previously treated non-small cell lung cancer,1.0
12432,thomas sauvigny,1,cancer,1.0
12433,katsutsugu umeda,1,medullary thyroid cancer,1.0
12434,david brieger,1,stroke,1.0
12435,stieneke zoet-nugteren,1,stroke,1.0
12436,barbara changizi,1,primary dystonia,1.0
12437,gena h. volas-redd,1,extensive stage lung small cell carcinoma,1.0
12438,pascal blouin,1,high-risk neuroblastoma,1.0
12439,catalina marquez vega,1,high-risk neuroblastoma,1.0
12440,sabina kroiss benninger,1,high-risk neuroblastoma,1.0
12441,david andorsky,1,relapsed/refractory follicular lymphoma,1.0
12442,fanny prenois,1,neuroblastoma,1.0
12443,erik schadde,1,colorectal cancer liver metastases,1.0
12444,ursula matulonis,1,epithelial ovarian cancer,1.0
12445,gaetano pinnacchio,1,cardiac rhythm disorder,1.0
12446,justin wahlstrom,1,ebv+ lymphoproliferative disease with acquired (non-congenital) immunodeficiency (ebv+ aid lpd),1.0
